id,nom,type_acteur,nb_parcelles_urbaines,nb_parcelles_rurales,frequence_revente,ratio_plus_value,nb_liens_reseau,partage_telephone,partage_adresse,partage_iban,age_premier_achat_jours,est_agent_public,label,description
39,mamadou_acc,citoyen,4,2,0.2,0.15,6,0,1,1,80,0,accaparement,Accapareur rural et urbain via réseau familial
40,lamine_acc,citoyen,5,1,0.4,0.28,5,1,1,0,110,0,accaparement,Accaparement massif avec adresse et téléphone partagés
41,cas_limite_1,citoyen,3,0,0.4,0.32,3,1,0,0,300,0,cas_limite,3 parcelles urbaines (juste sous le seuil de 4) + téléphone partagé — borderline
42,cas_limite_2,agent_public,2,0,0.2,0.18,3,0,0,0,400,1,cas_limite,Agent public avec 2 parcelles et liens professionnels nombreux
43,cas_limite_3,citoyen,3,1,0.38,0.29,4,0,1,0,280,0,cas_limite,Adresse partagée mais seulement 3 parcelles urbaines
44,cas_limite_4,promoteur,2,2,0.3,0.25,3,0,0,1,350,0,cas_limite,Promoteur avec IBAN partagé mais adresse stable
45,cas_limite_5,citoyen,2,0,0.5,0.35,2,1,0,0,250,0,cas_limite,Revente rapide + téléphone partagé mais peu de parcelles
46,reseau_familial,citoyen,5,2,0.7,0.60,8,1,1,1,50,0,fraude_sophistiquee,Réseau familial de prête-noms : 5 parcelles urbaines + tous indicateurs partagés + fréquence revente élevée + liens familiaux massifs
47,conflit_indirect,agent_public,3,0,0.4,0.30,6,0,0,1,80,1,fraude_sophistiquee,Agent public avec 3 parcelles via notaire lié + IBAN partagé + bénéficiaire indirect dossier traité
48,blanchiment_circulaire_act,citoyen,4,1,0.9,0.80,5,1,1,1,30,0,fraude_sophistiquee,Acteur central du circuit circulaire ibrahim→fatou→moussa→ibrahim : transactions bouclées en 120 jours
49,promoteur_fantome_act,promoteur,6,0,0.8,0.70,4,0,1,1,20,0,fraude_sophistiquee,Promoteur fantôme sans adresse stable gérant 6 parcelles avec IBAN partagé et fréquence revente maximale
50,fraude_composite_act,citoyen,5,3,0.85,0.90,9,1,1,1,15,0,fraude_sophistiquee,Fraude composite : accaparement massif + réseau prête-noms + spéculation à forte plus-value + liens financiers + âge d'acquisition très récent
